file,current,canonical
Inglot2008Intro.qmd,Pós-comunismo,Post-communism
Kenworthy2025Chp1.qmd,Democracia e Bem-Estar,Welfare State
Kenworthy2025Chp1.qmd,Desigualdade Econômica,Inequality
Kenworthy2025Chp1.qmd,Economia Política,Political Economy
Kenworthy2025Chp1.qmd,Metodologia Quantitativa,Quantitative Methods
Kenworthy2025Chp1.qmd,Política Social Comparada,Social Policy
Kenworthy2025Chp2.qmd,Desigualdade de Renda,Inequality
Kenworthy2025Chp2.qmd,Economia Política,Political Economy
Kenworthy2025Chp2.qmd,Metodologia Quantitativa,Quantitative Methods
Kenworthy2025Chp2.qmd,Padrões de Vida,Living Standards
Kenworthy2025Chp2.qmd,Política Comparada,Comparative Politics
Kenworthy2025Chp3.qmd,Democracia,Democracy
Kenworthy2025Chp3.qmd,Desigualdade Econômica,Inequality
Kenworthy2025Chp3.qmd,Economia Política,Political Economy
Kenworthy2025Chp3.qmd,Influência Política,Political Influence
Kenworthy2025Chp3.qmd,Metodologia Quantitativa,Quantitative Methods
Kosack2013.qmd,Ciência Política Comparada,Comparative Politics
Kosack2013.qmd,Desenvolvimento,Development Economics
Kosack2013.qmd,Economia Política,Political Economy
Kosack2013.qmd,Metodologia de Estudos de Caso,Case Study
Kosack2013.qmd,Política Educacional,Education Policy
Lichand-etal2026.qmd,Political Economy of Education,Education Policy
Limongi-etal2021.qmd,Análise Legislativa,Legislative Analysis
Limongi-etal2021.qmd,Autoritarismo,Authoritarianism
Limongi-etal2021.qmd,Política Brasileira,Brazil
Limongi-etal2021.qmd,Presidencialismo de Coalizão,Coalitional Presidentialism
Limongi-etal2021.qmd,Relações Executivo-Legislativo,Legislative Analysis
Lupu-Pontusson2023Chp-1-v2.qmd,Comparative,Comparative Politics
Lupu-Pontusson2023Chp-1-v2.qmd,Comparative Political Economy,Political Economy
Lupu-Pontusson2023Chp-1.qmd,Comparative,Comparative Politics
Lupu-Pontusson2023Chp-1.qmd,Comparative Political Economy,Political Economy
Mariscal-Sokoloff2000.qmd,América Latina Comparada,Latin America
Mariscal-Sokoloff2000.qmd,Desenvolvimento de Longo Prazo,Economic Growth
Mariscal-Sokoloff2000.qmd,Desigualdade e Instituições,Inequality
Mariscal-Sokoloff2000.qmd,Economia Política Histórica,Historical Political Economy
Mariscal-Sokoloff2000.qmd,História da Educação,History of Education
Moe-Wiborg2017.qmd,Dependência de Trajetória,Path Dependence
Moe-Wiborg2017.qmd,Interesses Criados,Vested Interests
Moe-Wiborg2017.qmd,Política Comparada da Educação,Education Policy
Moe-Wiborg2017.qmd,Reforma Institucional,Institutional Change
